    time [s]    temp [*C]    temp [*F]
       0.936        18.31        64.96
       2.856        18.31        64.96
       4.775        18.31        64.96
       6.696        18.31        64.96
       8.616        18.31        64.96
      10.535        18.19        64.74
      12.456        18.31        64.96
      14.376        18.31        64.96
      16.295        18.31        64.96
      18.216        18.31        64.96
      20.136        18.31        64.96
      22.056        18.31        64.96
      23.975        18.31        64.96
      25.895        18.38        65.08
      27.816        18.44        65.19
      29.735        18.44        65.19
      31.655        18.50        65.30
      33.575        18.56        65.41
      35.495        18.62        65.53
      37.415        18.69        65.64
      39.336        18.75        65.75
      41.256        18.88        65.97
      43.175        18.94        66.09
      45.096        19.00        66.20
      47.016        19.12        66.42
      48.936        19.25        66.65
      50.856        19.31        66.76
      52.775        19.44        66.99
      54.696        19.50        67.10
      56.616        19.56        67.21
      58.535        19.69        67.44
      60.455        19.81        67.66
      62.376        19.94        67.89
      64.295        20.00        68.00
      66.216        85.00       185.00
      68.136        20.19        68.34
      70.056        20.31        68.56
      71.975        20.38        68.67
      73.896        20.56        69.01
      75.816        20.62        69.12
      77.735        20.75        69.35
      79.655        20.88        69.58
      81.576        21.00        69.80
      83.496        21.12        70.03
      85.416        21.25        70.25
      87.336        21.38        70.47
      89.256        21.44        70.59
      91.176        21.56        70.81
      93.096        21.69        71.04
      95.016        21.81        71.26
      96.935        21.94        71.49
      98.855        22.06        71.71
     100.775        22.19        71.94
     102.695        22.25        72.05
     104.616        22.38        72.28
     106.535        22.50        72.50
     108.456        22.62        72.72
     110.375        22.75        72.95
     112.295        22.88        73.17
     114.216        23.00        73.40
     117.016        23.19        73.74
     118.935        23.25        73.85
     120.856        23.38        74.08
     122.776        23.50        74.30
     124.695        23.62        74.53
     126.615        23.75        74.75
     128.535        23.88        74.97
     130.455        24.00        75.20
     132.376        24.12        75.42
     134.295        24.25        75.65
     136.216        24.38        75.88
     138.136        24.50        76.10
     140.056        24.62        76.33
     141.976        24.69        76.44
     143.895        24.81        76.66
     145.816        24.94        76.89
     147.735        25.06        77.11
     149.656        25.19        77.34
     151.576        25.31        77.56
     153.495        25.44        77.79
     155.415        25.56        78.01
     157.335        25.62        78.12
     159.256        25.75        78.35
     161.176        25.88        78.58
     163.096        26.00        78.80
     165.016        26.12        79.03
     166.936        26.25        79.25
     168.896        26.38        79.47
     170.776        26.44        79.59
     172.696        26.56        79.81
     174.615        26.69        80.04
     176.535        26.81        80.26
     178.456        26.88        80.38
     180.375        27.00        80.60
     182.295        27.12        80.83
     184.215        27.25        81.05
     186.135        27.38        81.28
     188.056        27.44        81.39
     189.975        27.56        81.61
     191.896        27.69        81.84
     193.815        27.81        82.06
     195.735        27.94        82.29
     197.656        28.00        82.40
     199.615        28.12        82.62
     201.496        28.25        82.85
     203.415        28.31        82.96
     205.335        28.44        83.19
     207.256        28.56        83.41
     209.176        28.62        83.53
     211.096        28.75        83.75
     213.016        28.88        83.97
     214.936        28.94        84.09
     216.855        29.06        84.31
     218.775        29.19        84.54
     220.695        29.31        84.76
     222.615        29.38        84.88
     224.535        29.50        85.10
     226.456        29.56        85.21
     228.375        29.69        85.44
     230.335        29.81        85.66
     232.216        29.88        85.78
     234.135        29.94        85.89
     236.056        29.94        85.89
     237.975        30.00        86.00
     239.895        30.00        86.00
     241.816        30.00        86.00
     243.736        30.00        86.00
     245.656        30.00        86.00
     247.575        30.06        86.11
     249.495        30.06        86.11
     251.415        30.12        86.22
     253.335        30.12        86.22
     255.255        30.12        86.22
     257.176        30.19        86.34
     259.096        30.25        86.45
     261.056        30.25        86.45
     262.936        30.31        86.56
     264.856        30.38        86.67
     266.775        30.44        86.79
     268.696        30.44        86.79
     270.616        30.50        86.90
     272.535        30.56        87.01
     274.456        30.62        87.12
     276.375        30.69        87.24
     278.296        30.75        87.35
     280.216        30.81        87.46
     282.136        30.88        87.58
     284.055        30.94        87.69
     285.975        31.00        87.80
     287.896        31.06        87.91
     289.815        31.12        88.03
     291.776        31.19        88.14
     293.656        31.25        88.25
     295.575        31.31        88.36
     297.495        31.38        88.47
     299.415        31.44        88.59
     301.336        31.50        88.70
     303.256        31.56        88.81
     305.176        31.62        88.92
     307.096        31.69        89.04
     309.015        31.75        89.15
     310.935        31.81        89.26
     312.856        31.88        89.38
     314.776        31.94        89.49
     316.696        32.00        89.60
     318.616        32.06        89.71
     320.535        32.12        89.83
     322.495        32.19        89.94
     324.376        32.25        90.05
     326.295        32.31        90.16
     328.216        32.38        90.28
     330.136        32.44        90.39
     332.056        32.44        90.39
     333.975        32.56        90.61
     335.895        32.62        90.72
     337.815        32.69        90.84
     339.736        32.75        90.95
     341.656        32.81        91.06
     343.576        32.88        91.17
     345.495        32.94        91.29
     347.415        33.00        91.40
     349.335        33.06        91.51
     351.256        33.12        91.62
     353.216        33.19        91.74
     355.096        33.25        91.85
     357.016        33.31        91.96
     358.935        33.38        92.08
     360.856        33.44        92.19
     362.775        33.56        92.41
     364.695        33.62        92.53
     366.615        33.69        92.64
     368.535        33.75        92.75
     370.456        33.81        92.86
     372.376        33.88        92.97
     374.295        33.94        93.09
     376.216        34.00        93.20
     378.136        34.06        93.31
     380.056        34.12        93.42
     381.976        34.19        93.54
     383.936        34.25        93.65
     385.815        34.31        93.76
     387.736        34.38        93.88
     389.656        34.44        93.99
     391.576        34.50        94.10
     393.496        34.56        94.21
     395.415        34.62        94.33
     397.335        34.69        94.44
     399.256        34.75        94.55
     401.176        34.81        94.66
     403.096        34.88        94.78
     405.016        34.94        94.89
     406.936        35.00        95.00
     408.856        35.06        95.11
     410.776        35.12        95.22
     412.696        35.19        95.34
     414.656        35.25        95.45
     416.536        35.31        95.56
     418.456        35.31        95.56
     420.375        35.38        95.67
     422.295        35.44        95.79
     424.216        35.50        95.90
     426.136        35.56        96.01
     428.055        35.62        96.12
     429.976        35.62        96.12
     431.896        35.69        96.24
     433.816        35.75        96.35
     435.735        35.81        96.46
     437.655        35.88        96.58
     439.576        35.94        96.69
     441.496        36.00        96.80
     443.415        36.06        96.91
     445.376        36.12        97.03
     447.255        36.19        97.14
     449.176        36.19        97.14
     451.096        36.25        97.25
     453.015        36.31        97.36
     454.935        36.38        97.47
     456.855        36.44        97.59
     458.775        36.44        97.59
     460.695        36.50        97.70
     462.616        36.56        97.81
     464.535        36.56        97.81
     466.456        36.62        97.92
     468.375        36.69        98.04
     470.295        36.69        98.04
     472.216        36.75        98.15
     474.136        36.81        98.26
     476.096        36.81        98.26
     477.976        36.88        98.38
     479.895        36.94        98.49
     481.816        36.94        98.49
     483.736        37.00        98.60
     485.656        37.06        98.71
     487.576        37.12        98.83
     489.496        37.12        98.83
     491.415        37.19        98.94
     493.336        37.19        98.94
     495.256        37.25        99.05
     497.176        37.31        99.16
     499.096        37.31        99.16
     501.016        37.38        99.28
     502.936        37.44        99.39
     504.855        37.44        99.39
     506.816        37.50        99.50
     508.695        37.56        99.61
     510.615        37.56        99.61
     512.535        37.62        99.72
     514.456        37.69        99.84
     516.375        85.00       185.00
     518.295        37.75        99.95
     520.216        37.81       100.06
     522.136        37.88       100.17
     524.055        37.88       100.17
     525.976        37.94       100.29
     527.895        38.00       100.40
     529.815        38.06       100.51
     531.736        38.06       100.51
     533.655        38.12       100.62
     535.576        38.19       100.74
     537.535        38.19       100.74
     539.415        38.25       100.85
     541.335        38.31       100.96
     543.256        38.38       101.08
     545.176        38.38       101.08
     547.096        38.44       101.19
     549.016        38.50       101.30
     550.936        38.56       101.41
     552.856        38.56       101.41
     554.775        38.62       101.53
     556.696        38.69       101.64
     558.616        38.69       101.64
     560.536        38.75       101.75
     562.456        38.81       101.86
     564.375        38.88       101.97
     566.295        38.94       102.09
     568.256        38.94       102.09
     570.136        39.00       102.20
     572.056        39.06       102.31
     573.976        39.12       102.42
     575.896        39.12       102.42
     577.815        39.19       102.54
     579.736        39.25       102.65
     581.655        39.31       102.76
     583.575        39.31       102.76
     585.495        39.38       102.88
     587.416        39.44       102.99
     589.335        39.50       103.10
     591.256        39.50       103.10
     593.176        39.56       103.21
     595.095        39.62       103.33
     597.016        39.69       103.44
     598.976        39.69       103.44
     600.855        39.75       103.55
     602.776        39.81       103.66
     604.695        39.88       103.78
     606.616        39.88       103.78
     608.536        39.94       103.89
     610.455        40.00       104.00
     612.376        40.06       104.11
     614.295        40.06       104.11
     616.216        40.12       104.22
     618.136        40.12       104.22
     620.056        40.19       104.34
     621.976        40.25       104.45
     623.895        40.25       104.45
     625.816        40.31       104.56
     627.735        40.38       104.67
     629.695        40.38       104.67
     631.576        40.44       104.79
     633.495        40.50       104.90
     635.416        40.56       105.01
     637.335        40.56       105.01
     639.255        40.62       105.12
     641.176        40.62       105.12
     643.096        40.69       105.24
     645.016        40.69       105.24
     646.936        40.75       105.35
     648.855        40.81       105.46
     650.776        40.81       105.46
     652.695        40.88       105.58
     654.615        40.94       105.69
     656.535        40.94       105.69
     658.456        41.00       105.80
     660.415        41.00       105.80
     662.295        41.06       105.91
     664.216        41.06       105.91
     666.135        41.12       106.03
     668.056        41.19       106.14
     669.975        41.19       106.14
     671.895        41.25       106.25
     673.816        41.25       106.25
     675.735        41.31       106.36
     677.655        41.31       106.36
     679.576        41.38       106.47
     681.496        41.38       106.47
     683.416        41.44       106.59
     685.335        41.50       106.70
     687.256        41.50       106.70
     689.176        41.56       106.81
     691.135        41.56       106.81
     693.015        41.62       106.92
     694.935        41.62       106.92
     696.855        41.62       106.92
     698.775        41.69       107.04
     700.696        41.69       107.04
     702.615        41.75       107.15
     704.535        41.75       107.15
     706.456        41.81       107.26
     708.376        41.81       107.26
     710.295        41.88       107.38
     712.216        41.88       107.38
     714.135        41.94       107.49
     716.056        41.94       107.49
     717.976        42.00       107.60
     719.896        42.00       107.60
     721.856        42.06       107.71
     723.735        42.06       107.71
     725.656        42.12       107.83
     727.575        42.12       107.83
     729.495        42.12       107.83
     731.415        42.19       107.94
     733.335        42.25       108.05
     735.256        42.25       108.05
     737.176        42.25       108.05
     739.095        42.31       108.16
     741.015        42.31       108.16
     742.936        42.31       108.16
     744.856        42.38       108.28
     746.775        42.44       108.39
     748.696        42.44       108.39
     750.616        42.50       108.50
     752.575        42.50       108.50
     754.456        42.50       108.50
     756.376        42.56       108.61
     758.295        42.62       108.72
     760.216        42.62       108.72
     762.136        42.62       108.72
     764.055        42.69       108.84
     765.976        42.69       108.84
     767.896        42.75       108.95
     769.816        42.75       108.95
     771.735        42.81       109.06
     773.655        42.81       109.06
     775.575        42.88       109.17
     777.495        42.88       109.17
     779.416        42.94       109.29
     781.335        42.94       109.29
     783.295        43.00       109.40
     785.176        43.00       109.40
     787.095        43.06       109.51
     789.016        43.06       109.51
     790.935        43.12       109.62
     792.856        43.12       109.62
     794.775        43.12       109.62
     796.696        43.19       109.74
     798.616        43.19       109.74
     800.535        43.19       109.74
     802.456        43.25       109.85
     804.375        43.25       109.85
     806.296        43.25       109.85
     808.216        43.25       109.85
     810.136        43.25       109.85
     812.056        43.31       109.96
     814.016        43.31       109.96
     815.896        43.31       109.96
     817.816        43.38       110.08
     819.736        43.38       110.08
     821.656        43.44       110.19
     823.576        43.44       110.19
     825.496        43.44       110.19
     827.416        43.50       110.30
     829.335        43.50       110.30
     831.256        43.56       110.41
     833.176        43.56       110.41
     835.096        43.62       110.53
     837.015        43.62       110.53
     838.935        43.62       110.53
     840.856        43.62       110.53
     842.776        43.69       110.64
     844.735        43.69       110.64
     846.616        43.69       110.64
     848.535        43.75       110.75
     850.455        43.75       110.75
     852.375        43.75       110.75
     854.296        43.81       110.86
     856.215        43.81       110.86
     858.136        43.81       110.86
     860.056        43.81       110.86
     861.975        43.88       110.97
     863.896        43.88       110.97
     865.815        43.88       110.97
     867.736        43.94       111.09
     869.656        43.94       111.09
     871.575        43.94       111.09
     873.495        43.94       111.09
     875.456        44.00       111.20
     877.335        44.00       111.20
     879.256        44.00       111.20
     881.176        43.81       110.86
     883.096        44.00       111.20
     885.015        44.00       111.20
     886.936        43.81       110.86
     888.856        85.00       185.00
     890.775        44.12       111.42
     892.695        44.12       111.42
     894.616        44.19       111.54
     896.535        44.19       111.54
     898.456        44.12       111.42
     900.375        44.25       111.65
     902.296        44.25       111.65
     904.215        44.31       111.76
     906.175        44.31       111.76
     908.055        44.31       111.76
     909.976        44.31       111.76
     911.895        44.38       111.88
     913.815        44.38       111.88
     915.736        44.38       111.88
     917.656        44.38       111.88
     919.575        44.44       111.99
     921.495        44.44       111.99
     923.415        44.44       111.99
     925.336        44.44       111.99
     927.256        44.44       111.99
     929.176        44.50       112.10
     931.096        44.50       112.10
     933.016        44.50       112.10
     934.936        44.50       112.10
     936.896        44.50       112.10
     938.776        44.56       112.21
     940.695        44.56       112.21
     942.616        44.56       112.21
     944.536        44.62       112.33
     946.455        44.62       112.33
     948.375        85.00       185.00
     950.295        44.62       112.33
     952.216        44.62       112.33
     954.136        44.62       112.33
     956.055        44.62       112.33
     957.976        44.62       112.33
     959.896        44.62       112.33
     961.815        44.56       112.21
     963.736        44.56       112.21
     965.656        44.56       112.21
     967.615        44.56       112.21
     969.495        44.50       112.10
     971.415        44.50       112.10
     973.336        44.50       112.10
     975.255        44.50       112.10
     977.176        44.44       111.99
     979.096        44.44       111.99
     981.015        44.44       111.99
     982.935        44.44       111.99
     984.855        44.38       111.88
     986.775        44.31       111.76
     988.695        44.31       111.76
     990.615        44.31       111.76
     992.535        44.25       111.65
     994.456        44.25       111.65
     996.375        44.19       111.54
     998.336        44.19       111.54
    1000.216        44.12       111.42
    1002.136        44.12       111.42
    1004.055        44.06       111.31
    1005.975        44.00       111.20
    1007.895        43.94       111.09
    1009.815        43.88       110.97
    1011.735        43.81       110.86
    1013.656        43.75       110.75
    1015.575        43.69       110.64
    1017.496        43.56       110.41
    1019.415        43.50       110.30
    1021.335        43.38       110.08
    1023.255        43.31       109.96
    1025.176        43.19       109.74
    1027.095        43.06       109.51
    1029.055        42.94       109.29
    1030.935        42.81       109.06
    1032.855        42.69       108.84
    1034.776        42.50       108.50
    1036.696        42.38       108.28
    1038.616        42.25       108.05
    1040.535        42.06       107.71
    1043.335        41.75       107.15
    1045.256        41.56       106.81
    1047.176        41.38       106.47
    1049.096        41.19       106.14
    1051.015        41.00       105.80
    1052.935        40.81       105.46
    1054.855        40.56       105.01
    1056.775        40.38       104.67
    1058.696        85.00       185.00
    1060.615        85.00       185.00
    1062.535        85.00       185.00
    1064.455        39.38       102.88
    1066.376        85.00       185.00
    1068.295        38.81       101.86
    1070.216        38.50       101.30
    1072.135        38.19       100.74
    1074.056        37.88       100.17
    1075.975        37.56        99.61
    1077.895        37.25        99.05
    1079.815        36.94        98.49
    1081.735        36.62        97.92
    1083.656        36.31        97.36
    1085.575        36.00        96.80
    1087.495        35.75        96.35
    1089.415        35.44        95.79
    1091.335        35.19        95.34
    1093.255        34.94        94.89
