    time [s]    temp [*C]    temp [*F]
    1095.175        34.62        94.33
    1097.095        34.38        93.88
    1099.015        34.12        93.42
    1100.936        33.88        92.97
    1102.856        33.62        92.53
    1104.775        33.38        92.08
    1106.775        85.00       185.00
    1108.695        85.00       185.00
    1111.575        32.44        90.39
    1113.495        85.00       185.00
    1115.415        31.88        89.38
    1117.335        31.62        88.92
    1119.255        31.38        88.47
    1121.216        31.19        88.14
    1123.095        30.94        87.69
    1125.015        30.69        87.24
    1126.935        30.50        86.90
    1128.855        30.31        86.56
    1130.775        30.12        86.22
    1132.695        29.94        85.89
    1134.615        29.69        85.44
    1136.535        29.50        85.10
    1138.456        29.38        84.88
    1140.375        29.19        84.54
    1142.296        29.00        84.20
    1144.216        28.81        83.86
    1146.136        28.69        83.64
    1148.055        85.00       185.00
    1149.976        28.38        83.08
    1151.935        28.25        82.85
    1153.815        28.12        82.62
    1155.736        27.94        82.29
    1157.655        27.81        82.06
    1159.576        27.69        81.84
    1161.495        27.50        81.50
    1163.415        27.38        81.28
    1165.335        27.25        81.05
    1167.255        27.12        80.83
    1169.175        27.00        80.60
    1171.095        26.94        80.49
    1173.015        26.62        79.92
    1174.936        26.69        80.04
    1176.855        26.56        79.81
    1178.775        26.50        79.70
    1180.695        26.38        79.47
    1182.656        26.25        79.25
    1184.535        26.19        79.14
    1186.456        26.06        78.91
    1188.375        26.00        78.80
    1190.296        25.88        78.58
    1192.216        25.81        78.46
    1194.135        25.75        78.35
    1196.055        85.00       185.00
    1197.976        25.56        78.01
    1199.895        25.50        77.90
    1201.815        25.44        77.79
    1203.735        25.31        77.56
    1205.656        25.25        77.45
    1207.575        25.19        77.34
    1209.495        25.12        77.22
    1211.415        25.06        77.11
    1213.376        25.00        77.00
    1215.255        24.94        76.89
    1217.176        24.88        76.78
    1219.095        24.75        76.55
    1221.015        24.75        76.55
    1222.935        24.62        76.33
    1224.855        24.56        76.21
    1226.775        24.50        76.10
    1228.695        24.44        75.99
    1230.615        24.38        75.88
    1232.535        24.31        75.76
    1234.455        24.31        75.76
    1236.375        24.25        75.65
    1238.295        24.19        75.54
    1240.215        24.12        75.42
    1242.136        24.06        75.31
    1244.095        24.00        75.20
    1245.976        24.00        75.20
    1247.896        23.94        75.09
    1249.815        23.88        74.97
    1251.735        23.81        74.86
    1253.655        23.75        74.75
    1255.576        23.69        74.64
    1257.495        23.69        74.64
    1259.415        23.62        74.53
    1261.335        23.56        74.41
    1263.256        23.56        74.41
    1265.176        23.50        74.30
    1267.096        23.44        74.19
    1269.015        23.44        74.19
    1270.935        23.38        74.08
    1272.855        23.31        73.96
    1274.816        23.31        73.96
    1276.695        23.25        73.85
    1278.616        23.19        73.74
    1280.535        23.19        73.74
    1282.456        23.12        73.62
    1284.375        23.12        73.62
    1286.296        23.06        73.51
    1288.216        23.06        73.51
    1290.135        23.00        73.40
    1292.056        23.00        73.40
    1293.975        22.94        73.29
    1295.895        22.94        73.29
    1297.816        22.88        73.17
    1299.736        22.88        73.17
    1301.656        22.81        73.06
    1303.575        22.81        73.06
    1305.536        22.81        73.06
    1307.415        22.75        72.95
    1309.335        22.75        72.95
    1311.255        22.69        72.84
    1313.176        22.69        72.84
    1315.096        22.62        72.72
    1317.015        22.62        72.72
    1318.935        22.62        72.72
    1320.855        22.56        72.61
    1322.775        22.50        72.50
    1324.695        22.56        72.61
    1326.616        22.50        72.50
    1328.535        22.50        72.50
    1330.456        22.44        72.39
    1332.375        22.44        72.39
    1334.295        22.38        72.28
    1336.255        22.38        72.28
    1338.135        22.31        72.16
    1340.055        22.31        72.16
    1341.975        22.25        72.05
    1343.895        22.25        72.05
    1345.816        22.25        72.05
    1347.735        22.19        71.94
    1349.656        22.12        71.83
    1351.575        22.12        71.83
    1353.495        22.12        71.83
    1355.415        22.06        71.71
    1357.335        22.06        71.71
    1359.255        22.06        71.71
    1361.175        22.00        71.60
    1363.096        22.00        71.60
    1365.016        22.00        71.60
    1366.975        21.94        71.49
    1368.855        21.94        71.49
    1370.775        21.94        71.49
    1372.695        21.88        71.38
    1374.616        21.88        71.38
    1376.535        21.88        71.38
    1378.456        21.81        71.26
    1380.375        21.81        71.26
    1382.296        21.81        71.26
    1384.216        21.81        71.26
    1386.135        21.75        71.15
    1388.055        21.75        71.15
    1389.975        21.75        71.15
    1391.896        21.75        71.15
    1394.695        21.69        71.04
    1396.615        21.69        71.04
    1398.535        21.62        70.92
    1400.455        21.62        70.92
    1402.375        21.62        70.92
    1404.295        21.56        70.81
    1406.216        21.56        70.81
    1408.136        21.50        70.70
    1410.055        21.56        70.81
    1411.975        21.56        70.81
    1413.895        21.50        70.70
    1415.816        21.56        70.81
    1417.735        21.50        70.70
    1419.655        21.50        70.70
    1421.575        21.50        70.70
    1423.495        21.50        70.70
    1425.415        21.50        70.70
    1427.336        21.44        70.59
    1429.255        21.44        70.59
    1431.175        21.44        70.59
    1433.096        21.44        70.59
    1435.015        21.44        70.59
    1436.935        21.44        70.59
    1438.856        21.44        70.59
    1440.776        21.44        70.59
    1442.695        21.38        70.47
    1444.616        21.38        70.47
    1446.535        21.38        70.47
    1448.456        21.38        70.47
    1450.376        21.38        70.47
    1452.295        21.38        70.47
    1454.216        21.31        70.36
    1456.135        21.31        70.36
    1458.055        21.31        70.36
    1459.975        21.31        70.36
    1461.895        21.25        70.25
    1463.816        21.25        70.25
    1465.735        21.25        70.25
    1467.655        21.25        70.25
    1469.575        21.25        70.25
    1471.495        21.19        70.14
    1473.415        21.19        70.14
    1475.335        21.19        70.14
    1477.256        21.19        70.14
    1479.175        21.12        70.03
    1481.095        21.12        70.03
    1483.015        21.12        70.03
    1484.935        21.12        70.03
    1486.856        21.12        70.03
    1488.775        21.06        69.91
    1490.696        21.06        69.91
    1492.615        21.06        69.91
    1494.535        21.06        69.91
    1496.456        21.06        69.91
    1498.375        21.06        69.91
    1500.295        21.00        69.80
    1502.215        21.00        69.80
    1504.135        21.00        69.80
    1506.055        21.00        69.80
    1507.976        21.00        69.80
    1509.895        21.00        69.80
    1511.816        21.00        69.80
    1513.735        21.00        69.80
    1515.656        21.00        69.80
    1517.575        21.00        69.80
    1519.496        21.00        69.80
    1521.415        21.00        69.80
    1523.335        21.00        69.80
    1525.255        21.00        69.80
    1527.175        21.00        69.80
    1529.096        21.00        69.80
    1531.015        20.94        69.69
    1532.935        20.94        69.69
    1534.855        20.94        69.69
    1536.775        20.94        69.69
    1538.696        20.94        69.69
    1540.616        20.94        69.69
    1542.535        20.94        69.69
    1544.456        20.94        69.69
    1546.375        20.88        69.58
    1548.295        20.88        69.58
    1550.216        20.88        69.58
    1552.135        20.88        69.58
    1554.055        20.88        69.58
    1555.976        20.88        69.58
    1557.896        20.88        69.58
    1559.816        20.88        69.58
    1561.735        20.88        69.58
    1563.656        20.81        69.46
    1565.576        20.81        69.46
    1567.496        20.81        69.46
    1569.415        20.81        69.46
    1571.335        20.81        69.46
    1573.255        20.81        69.46
    1575.175        20.81        69.46
    1577.095        20.81        69.46
    1579.015        20.81        69.46
    1580.935        20.81        69.46
    1582.856        20.81        69.46
    1584.775        20.81        69.46
    1586.696        20.81        69.46
    1588.615        20.81        69.46
    1590.536        20.88        69.58
    1592.456        20.88        69.58
    1594.376        20.88        69.58
    1596.296        20.81        69.46
    1598.216        20.81        69.46
    1600.135        20.81        69.46
    1602.055        20.81        69.46
    1603.976        20.81        69.46
    1605.896        20.88        69.58
    1607.816        20.81        69.46
    1609.736        20.69        69.24
    1611.656        20.81        69.46
    1613.575        20.81        69.46
    1615.496        20.81        69.46
    1617.416        20.81        69.46
    1619.335        20.81        69.46
    1621.256        20.81        69.46
    1623.176        20.88        69.58
    1625.095        20.88        69.58
    1627.015        20.88        69.58
    1628.935        20.88        69.58
    1630.855        20.81        69.46
    1632.776        20.81        69.46
    1634.696        20.81        69.46
    1636.615        20.81        69.46
    1638.536        20.81        69.46
    1640.456        20.81        69.46
    1642.376        20.88        69.58
    1644.295        20.81        69.46
    1646.216        20.81        69.46
    1648.136        20.88        69.58
    1650.056        20.88        69.58
    1651.976        20.81        69.46
    1653.896        20.81        69.46
    1655.816        20.81        69.46
    1657.736        20.81        69.46
    1659.656        20.81        69.46
    1661.575        20.81        69.46
    1663.495        20.81        69.46
    1665.416        20.81        69.46
    1667.335        20.81        69.46
    1669.256        20.81        69.46
    1671.176        20.81        69.46
    1673.096        20.81        69.46
    1675.015        20.81        69.46
    1676.936        20.81        69.46
    1678.855        20.81        69.46
    1680.775        20.81        69.46
    1682.696        20.81        69.46
    1684.616        20.81        69.46
    1686.535        20.81        69.46
    1688.456        20.81        69.46
    1690.376        20.81        69.46
    1692.295        20.81        69.46
    1694.216        20.81        69.46
    1696.136        20.81        69.46
    1698.055        20.81        69.46
    1699.975        20.81        69.46
    1701.895        20.81        69.46
    1703.815        20.81        69.46
    1705.736        20.81        69.46
    1707.656        20.81        69.46
    1709.575        20.81        69.46
    1711.495        20.81        69.46
    1713.415        20.88        69.58
    1715.336        20.81        69.46
    1717.255        20.81        69.46
    1719.176        20.81        69.46
    1721.096        20.81        69.46
    1723.015        20.81        69.46
    1724.936        20.81        69.46
    1726.855        20.81        69.46
    1728.776        20.81        69.46
    1730.695        20.81        69.46
    1732.616        20.81        69.46
    1734.535        20.81        69.46
    1736.456        20.81        69.46
    1738.376        20.81        69.46
    1740.295        20.81        69.46
    1742.216        20.81        69.46
    1744.136        20.81        69.46
    1746.055        20.81        69.46
    1747.976        20.81        69.46
    1749.895        20.81        69.46
    1751.815        20.81        69.46
    1753.735        20.81        69.46
    1755.655        20.81        69.46
    1757.576        20.81        69.46
    1759.495        20.81        69.46
    1761.415        20.81        69.46
    1763.335        20.75        69.35
    1765.255        20.75        69.35
    1767.176        20.75        69.35
    1769.096        20.69        69.24
    1771.015        20.75        69.35
    1772.935        20.75        69.35
    1774.856        20.75        69.35
    1776.776        20.75        69.35
    1778.696        20.75        69.35
    1780.616        20.75        69.35
    1782.536        20.75        69.35
    1784.456        20.75        69.35
    1786.375        20.75        69.35
    1788.296        20.69        69.24
    1790.215        20.75        69.35
    1792.135        20.69        69.24
    1794.055        20.75        69.35
    1795.976        20.75        69.35
    1797.895        20.75        69.35
    1799.815        20.75        69.35
    1801.735        85.00       185.00
    1803.655        20.75        69.35
    1805.576        20.75        69.35
    1807.495        20.75        69.35
    1809.415        20.75        69.35
    1811.335        20.75        69.35
    1813.256        20.69        69.24
    1815.176        20.75        69.35
    1817.095        20.75        69.35
    1819.015        20.75        69.35
    1820.935        20.75        69.35
    1822.856        20.75        69.35
    1824.775        20.75        69.35
    1826.695        20.75        69.35
    1828.616        20.75        69.35
    1830.535        20.75        69.35
    1832.456        20.75        69.35
    1834.375        20.75        69.35
    1836.295        20.75        69.35
    1838.216        20.75        69.35
    1840.136        20.75        69.35
    1842.055        20.81        69.46
    1843.976        20.81        69.46
    1845.895        20.81        69.46
    1847.815        20.81        69.46
    1849.735        20.81        69.46
    1851.655        20.75        69.35
    1853.576        20.75        69.35
    1855.495        20.75        69.35
    1857.415        20.75        69.35
    1859.335        20.75        69.35
    1861.255        20.75        69.35
    1863.176        20.75        69.35
    1865.096        20.75        69.35
    1867.015        20.69        69.24
    1868.935        20.75        69.35
    1870.856        20.75        69.35
    1872.775        20.75        69.35
    1874.696        20.75        69.35
    1876.616        20.75        69.35
    1878.536        20.75        69.35
    1880.456        20.75        69.35
    1882.376        20.75        69.35
    1884.295        20.75        69.35
    1886.216        20.75        69.35
    1888.136        20.75        69.35
    1890.055        20.75        69.35
    1891.976        20.75        69.35
    1893.895        20.75        69.35
    1895.816        20.75        69.35
    1897.735        20.75        69.35
    1899.655        20.75        69.35
    1901.575        20.75        69.35
    1903.496        20.75        69.35
    1905.416        20.75        69.35
    1907.336        20.75        69.35
    1909.256        20.75        69.35
    1911.176        20.75        69.35
    1913.096        20.75        69.35
    1915.016        20.75        69.35
    1916.935        20.75        69.35
    1918.855        20.75        69.35
    1920.776        20.75        69.35
    1922.695        20.75        69.35
    1924.616        20.75        69.35
    1926.535        20.75        69.35
    1928.456        20.75        69.35
    1930.375        20.75        69.35
    1932.295        20.81        69.46
    1934.216        20.75        69.35
    1936.135        20.75        69.35
    1938.056        20.75        69.35
    1939.976        20.75        69.35
    1941.895        20.75        69.35
    1943.815        20.75        69.35
    1945.735        20.75        69.35
    1947.655        20.75        69.35
    1949.576        20.75        69.35
    1951.496        20.75        69.35
    1953.415        20.75        69.35
    1955.336        20.75        69.35
    1957.255        20.75        69.35
    1959.175        20.75        69.35
    1961.095        20.75        69.35
    1963.016        20.75        69.35
    1964.936        20.75        69.35
    1966.855        20.75        69.35
    1968.775        20.75        69.35
    1970.695        20.75        69.35
    1972.616        20.75        69.35
    1974.535        20.69        69.24
    1976.455        20.69        69.24
    1978.376        20.75        69.35
    1980.295        20.69        69.24
    1982.216        20.69        69.24
    1984.136        20.62        69.12
    1986.056        20.69        69.24
    1987.976        85.00       185.00
