    time [s]    temp [*C]    temp [*F]
       0.923        17.06        62.71
       2.843        17.06        62.71
       4.763        17.06        62.71
       6.683        17.06        62.71
       8.603        17.06        62.71
      10.523        17.06        62.71
      12.443        17.06        62.71
      14.363        17.06        62.71
      16.283        17.06        62.71
      18.203        17.06        62.71
      20.123        17.06        62.71
      22.043        17.06        62.71
      23.963        17.06        62.71
      25.883        17.06        62.71
      27.803        17.06        62.71
      29.723        17.06        62.71
      31.643        17.06        62.71
      33.563        17.06        62.71
      35.483        17.06        62.71
      37.403        17.06        62.71
      39.323        17.06        62.71
      41.243        17.06        62.71
      43.163        17.06        62.71
      45.083        17.06        62.71
      47.003        17.06        62.71
      48.923        17.06        62.71
      50.843        17.06        62.71
      52.763        17.06        62.71
      54.683        17.06        62.71
      56.603        17.06        62.71
      58.523        17.06        62.71
      60.443        17.06        62.71
      62.363        17.06        62.71
      64.283        17.06        62.71
